RATE_DATE,RATE_TYPE,RATE_VALUE
21NOV2023,PRIME,0.084619
21NOV2023,FEDFUNDS,0.053562
21NOV2023,SOFR,0.053153
21NOV2023,LIBOR_3M,0.055594
21NOV2023,MTG_30YR,0.067413
22NOV2023,PRIME,0.084558
22NOV2023,FEDFUNDS,0.052971
22NOV2023,SOFR,0.053623
22NOV2023,LIBOR_3M,0.056006
22NOV2023,MTG_30YR,0.066423
23NOV2023,PRIME,0.085549
23NOV2023,FEDFUNDS,0.053258
23NOV2023,SOFR,0.053565
23NOV2023,LIBOR_3M,0.056451
23NOV2023,MTG_30YR,0.066809
24NOV2023,PRIME,0.085465
24NOV2023,FEDFUNDS,0.052877
24NOV2023,SOFR,0.053647
24NOV2023,LIBOR_3M,0.055758
24NOV2023,MTG_30YR,0.066521
25NOV2023,PRIME,0.084477
25NOV2023,FEDFUNDS,0.053561
25NOV2023,SOFR,0.053502
25NOV2023,LIBOR_3M,0.056371
25NOV2023,MTG_30YR,0.067293
26NOV2023,PRIME,0.085592
26NOV2023,FEDFUNDS,0.052708
26NOV2023,SOFR,0.053520
26NOV2023,LIBOR_3M,0.056481
26NOV2023,MTG_30YR,0.066775
27NOV2023,PRIME,0.084871
27NOV2023,FEDFUNDS,0.053682
27NOV2023,SOFR,0.052878
27NOV2023,LIBOR_3M,0.056438
27NOV2023,MTG_30YR,0.066999
28NOV2023,PRIME,0.084969
28NOV2023,FEDFUNDS,0.053179
28NOV2023,SOFR,0.053587
28NOV2023,LIBOR_3M,0.055374
28NOV2023,MTG_30YR,0.066371
29NOV2023,PRIME,0.084552
29NOV2023,FEDFUNDS,0.053344
29NOV2023,SOFR,0.053328
29NOV2023,LIBOR_3M,0.056164
29NOV2023,MTG_30YR,0.067236
30NOV2023,PRIME,0.085381
30NOV2023,FEDFUNDS,0.053636
30NOV2023,SOFR,0.053021
30NOV2023,LIBOR_3M,0.055612
30NOV2023,MTG_30YR,0.067103
01DEC2023,PRIME,0.085470
01DEC2023,FEDFUNDS,0.053756
01DEC2023,SOFR,0.052768
01DEC2023,LIBOR_3M,0.055907
01DEC2023,MTG_30YR,0.066540
02DEC2023,PRIME,0.084533
02DEC2023,FEDFUNDS,0.052963
02DEC2023,SOFR,0.052921
02DEC2023,LIBOR_3M,0.056422
02DEC2023,MTG_30YR,0.067264
03DEC2023,PRIME,0.084472
03DEC2023,FEDFUNDS,0.053077
03DEC2023,SOFR,0.053493
03DEC2023,LIBOR_3M,0.055567
03DEC2023,MTG_30YR,0.066951
04DEC2023,PRIME,0.084851
04DEC2023,FEDFUNDS,0.053299
04DEC2023,SOFR,0.053697
04DEC2023,LIBOR_3M,0.055988
04DEC2023,MTG_30YR,0.067376
05DEC2023,PRIME,0.084886
05DEC2023,FEDFUNDS,0.053791
05DEC2023,SOFR,0.052954
05DEC2023,LIBOR_3M,0.055374
05DEC2023,MTG_30YR,0.066480
06DEC2023,PRIME,0.084764
06DEC2023,FEDFUNDS,0.053044
06DEC2023,SOFR,0.053129
06DEC2023,LIBOR_3M,0.056275
06DEC2023,MTG_30YR,0.066914
07DEC2023,PRIME,0.085261
07DEC2023,FEDFUNDS,0.053018
07DEC2023,SOFR,0.053538
07DEC2023,LIBOR_3M,0.055678
07DEC2023,MTG_30YR,0.067213
08DEC2023,PRIME,0.084957
08DEC2023,FEDFUNDS,0.053300
08DEC2023,SOFR,0.052784
08DEC2023,LIBOR_3M,0.055967
08DEC2023,MTG_30YR,0.067486
09DEC2023,PRIME,0.084426
09DEC2023,FEDFUNDS,0.052764
09DEC2023,SOFR,0.053242
09DEC2023,LIBOR_3M,0.056466
09DEC2023,MTG_30YR,0.066370
10DEC2023,PRIME,0.084596
10DEC2023,FEDFUNDS,0.053559
10DEC2023,SOFR,0.053567
10DEC2023,LIBOR_3M,0.056308
10DEC2023,MTG_30YR,0.066472
11DEC2023,PRIME,0.084819
11DEC2023,FEDFUNDS,0.053785
11DEC2023,SOFR,0.052508
11DEC2023,LIBOR_3M,0.056020
11DEC2023,MTG_30YR,0.066538
12DEC2023,PRIME,0.085044
12DEC2023,FEDFUNDS,0.053097
12DEC2023,SOFR,0.052721
12DEC2023,LIBOR_3M,0.056206
12DEC2023,MTG_30YR,0.067372
13DEC2023,PRIME,0.084498
13DEC2023,FEDFUNDS,0.053670
13DEC2023,SOFR,0.053639
13DEC2023,LIBOR_3M,0.055715
13DEC2023,MTG_30YR,0.067321
14DEC2023,PRIME,0.085392
14DEC2023,FEDFUNDS,0.053406
14DEC2023,SOFR,0.053201
14DEC2023,LIBOR_3M,0.055567
14DEC2023,MTG_30YR,0.066879
15DEC2023,PRIME,0.085448
15DEC2023,FEDFUNDS,0.053163
15DEC2023,SOFR,0.052898
15DEC2023,LIBOR_3M,0.056303
15DEC2023,MTG_30YR,0.067349
16DEC2023,PRIME,0.085225
16DEC2023,FEDFUNDS,0.052930
16DEC2023,SOFR,0.052608
16DEC2023,LIBOR_3M,0.055359
16DEC2023,MTG_30YR,0.067051
17DEC2023,PRIME,0.085145
17DEC2023,FEDFUNDS,0.053074
17DEC2023,SOFR,0.052770
17DEC2023,LIBOR_3M,0.055721
17DEC2023,MTG_30YR,0.066444
18DEC2023,PRIME,0.084640
18DEC2023,FEDFUNDS,0.052979
18DEC2023,SOFR,0.052503
18DEC2023,LIBOR_3M,0.056142
18DEC2023,MTG_30YR,0.066996
19DEC2023,PRIME,0.084654
19DEC2023,FEDFUNDS,0.053384
19DEC2023,SOFR,0.053191
19DEC2023,LIBOR_3M,0.055516
19DEC2023,MTG_30YR,0.067470
20DEC2023,PRIME,0.085360
20DEC2023,FEDFUNDS,0.053142
20DEC2023,SOFR,0.053240
20DEC2023,LIBOR_3M,0.056200
20DEC2023,MTG_30YR,0.066808
21DEC2023,PRIME,0.085133
21DEC2023,FEDFUNDS,0.053213
21DEC2023,SOFR,0.053019
21DEC2023,LIBOR_3M,0.055473
21DEC2023,MTG_30YR,0.066510
22DEC2023,PRIME,0.085286
22DEC2023,FEDFUNDS,0.052870
22DEC2023,SOFR,0.052994
22DEC2023,LIBOR_3M,0.055872
22DEC2023,MTG_30YR,0.066895
23DEC2023,PRIME,0.084944
23DEC2023,FEDFUNDS,0.053215
23DEC2023,SOFR,0.053132
23DEC2023,LIBOR_3M,0.055923
23DEC2023,MTG_30YR,0.066445
24DEC2023,PRIME,0.085467
24DEC2023,FEDFUNDS,0.053619
24DEC2023,SOFR,0.052668
24DEC2023,LIBOR_3M,0.055862
24DEC2023,MTG_30YR,0.066307
25DEC2023,PRIME,0.085503
25DEC2023,FEDFUNDS,0.053113
25DEC2023,SOFR,0.053326
25DEC2023,LIBOR_3M,0.056331
25DEC2023,MTG_30YR,0.066612
26DEC2023,PRIME,0.084898
26DEC2023,FEDFUNDS,0.053254
26DEC2023,SOFR,0.053200
26DEC2023,LIBOR_3M,0.055704
26DEC2023,MTG_30YR,0.066517
27DEC2023,PRIME,0.084419
27DEC2023,FEDFUNDS,0.053389
27DEC2023,SOFR,0.052651
27DEC2023,LIBOR_3M,0.056464
27DEC2023,MTG_30YR,0.067358
28DEC2023,PRIME,0.084854
28DEC2023,FEDFUNDS,0.052979
28DEC2023,SOFR,0.052988
28DEC2023,LIBOR_3M,0.055748
28DEC2023,MTG_30YR,0.067270
29DEC2023,PRIME,0.085314
29DEC2023,FEDFUNDS,0.053679
29DEC2023,SOFR,0.053510
29DEC2023,LIBOR_3M,0.055434
29DEC2023,MTG_30YR,0.067103
30DEC2023,PRIME,0.084504
30DEC2023,FEDFUNDS,0.053636
30DEC2023,SOFR,0.053653
30DEC2023,LIBOR_3M,0.056279
30DEC2023,MTG_30YR,0.066344
31DEC2023,PRIME,0.085247
31DEC2023,FEDFUNDS,0.053157
31DEC2023,SOFR,0.053022
31DEC2023,LIBOR_3M,0.055915
31DEC2023,MTG_30YR,0.066940
01JAN2024,PRIME,0.084588
01JAN2024,FEDFUNDS,0.053436
01JAN2024,SOFR,0.052701
01JAN2024,LIBOR_3M,0.056107
01JAN2024,MTG_30YR,0.066903
02JAN2024,PRIME,0.085486
02JAN2024,FEDFUNDS,0.053561
02JAN2024,SOFR,0.053480
02JAN2024,LIBOR_3M,0.056040
02JAN2024,MTG_30YR,0.066478
03JAN2024,PRIME,0.084868
03JAN2024,FEDFUNDS,0.053259
03JAN2024,SOFR,0.053555
03JAN2024,LIBOR_3M,0.055511
03JAN2024,MTG_30YR,0.066794
04JAN2024,PRIME,0.085407
04JAN2024,FEDFUNDS,0.052905
04JAN2024,SOFR,0.053349
04JAN2024,LIBOR_3M,0.055628
04JAN2024,MTG_30YR,0.066494
05JAN2024,PRIME,0.084572
05JAN2024,FEDFUNDS,0.053818
05JAN2024,SOFR,0.052873
05JAN2024,LIBOR_3M,0.055629
05JAN2024,MTG_30YR,0.066895
06JAN2024,PRIME,0.084440
06JAN2024,FEDFUNDS,0.053039
06JAN2024,SOFR,0.053514
06JAN2024,LIBOR_3M,0.055742
06JAN2024,MTG_30YR,0.067343
07JAN2024,PRIME,0.084660
07JAN2024,FEDFUNDS,0.053036
07JAN2024,SOFR,0.052912
07JAN2024,LIBOR_3M,0.055545
07JAN2024,MTG_30YR,0.066806
08JAN2024,PRIME,0.085411
08JAN2024,FEDFUNDS,0.053237
08JAN2024,SOFR,0.052925
08JAN2024,LIBOR_3M,0.055380
08JAN2024,MTG_30YR,0.066314
09JAN2024,PRIME,0.084965
09JAN2024,FEDFUNDS,0.053361
09JAN2024,SOFR,0.052697
09JAN2024,LIBOR_3M,0.055907
09JAN2024,MTG_30YR,0.066378
10JAN2024,PRIME,0.085295
10JAN2024,FEDFUNDS,0.053389
10JAN2024,SOFR,0.052763
10JAN2024,LIBOR_3M,0.056053
10JAN2024,MTG_30YR,0.066728
11JAN2024,PRIME,0.084719
11JAN2024,FEDFUNDS,0.052920
11JAN2024,SOFR,0.052978
11JAN2024,LIBOR_3M,0.055690
11JAN2024,MTG_30YR,0.066562
12JAN2024,PRIME,0.085130
12JAN2024,FEDFUNDS,0.053312
12JAN2024,SOFR,0.052729
12JAN2024,LIBOR_3M,0.056487
12JAN2024,MTG_30YR,0.067113
13JAN2024,PRIME,0.084422
13JAN2024,FEDFUNDS,0.052995
13JAN2024,SOFR,0.053311
13JAN2024,LIBOR_3M,0.056443
13JAN2024,MTG_30YR,0.066679
14JAN2024,PRIME,0.084771
14JAN2024,FEDFUNDS,0.053435
14JAN2024,SOFR,0.053691
14JAN2024,LIBOR_3M,0.055341
14JAN2024,MTG_30YR,0.067106
15JAN2024,PRIME,0.085531
15JAN2024,FEDFUNDS,0.053539
15JAN2024,SOFR,0.053475
15JAN2024,LIBOR_3M,0.056319
15JAN2024,MTG_30YR,0.066974
16JAN2024,PRIME,0.085267
16JAN2024,FEDFUNDS,0.053353
16JAN2024,SOFR,0.052894
16JAN2024,LIBOR_3M,0.055776
16JAN2024,MTG_30YR,0.067327
17JAN2024,PRIME,0.085215
17JAN2024,FEDFUNDS,0.053196
17JAN2024,SOFR,0.053355
17JAN2024,LIBOR_3M,0.056344
17JAN2024,MTG_30YR,0.067429
18JAN2024,PRIME,0.084677
18JAN2024,FEDFUNDS,0.053866
18JAN2024,SOFR,0.053041
18JAN2024,LIBOR_3M,0.055890
18JAN2024,MTG_30YR,0.067074
19JAN2024,PRIME,0.085217
19JAN2024,FEDFUNDS,0.053856
19JAN2024,SOFR,0.053394
19JAN2024,LIBOR_3M,0.055969
19JAN2024,MTG_30YR,0.066303
20JAN2024,PRIME,0.084699
20JAN2024,FEDFUNDS,0.052920
20JAN2024,SOFR,0.052886
20JAN2024,LIBOR_3M,0.056142
20JAN2024,MTG_30YR,0.066870
21JAN2024,PRIME,0.084498
21JAN2024,FEDFUNDS,0.053466
21JAN2024,SOFR,0.053135
21JAN2024,LIBOR_3M,0.055373
21JAN2024,MTG_30YR,0.066349
22JAN2024,PRIME,0.085059
22JAN2024,FEDFUNDS,0.053074
22JAN2024,SOFR,0.053333
22JAN2024,LIBOR_3M,0.055986
22JAN2024,MTG_30YR,0.067037
23JAN2024,PRIME,0.085179
23JAN2024,FEDFUNDS,0.053289
23JAN2024,SOFR,0.053010
23JAN2024,LIBOR_3M,0.055355
23JAN2024,MTG_30YR,0.067220
24JAN2024,PRIME,0.084857
24JAN2024,FEDFUNDS,0.053557
24JAN2024,SOFR,0.052651
24JAN2024,LIBOR_3M,0.055788
24JAN2024,MTG_30YR,0.067273
25JAN2024,PRIME,0.085056
25JAN2024,FEDFUNDS,0.053669
25JAN2024,SOFR,0.053500
25JAN2024,LIBOR_3M,0.056171
25JAN2024,MTG_30YR,0.066574
26JAN2024,PRIME,0.084759
26JAN2024,FEDFUNDS,0.052915
26JAN2024,SOFR,0.052513
26JAN2024,LIBOR_3M,0.056494
26JAN2024,MTG_30YR,0.067051
27JAN2024,PRIME,0.085267
27JAN2024,FEDFUNDS,0.053511
27JAN2024,SOFR,0.053351
27JAN2024,LIBOR_3M,0.055602
27JAN2024,MTG_30YR,0.066835
28JAN2024,PRIME,0.084710
28JAN2024,FEDFUNDS,0.052785
28JAN2024,SOFR,0.053109
28JAN2024,LIBOR_3M,0.056191
28JAN2024,MTG_30YR,0.066912
29JAN2024,PRIME,0.085269
29JAN2024,FEDFUNDS,0.053481
29JAN2024,SOFR,0.053369
29JAN2024,LIBOR_3M,0.056440
29JAN2024,MTG_30YR,0.066947
30JAN2024,PRIME,0.084494
30JAN2024,FEDFUNDS,0.052702
30JAN2024,SOFR,0.053545
30JAN2024,LIBOR_3M,0.055466
30JAN2024,MTG_30YR,0.067382
31JAN2024,PRIME,0.085212
31JAN2024,FEDFUNDS,0.052759
31JAN2024,SOFR,0.052982
31JAN2024,LIBOR_3M,0.055839
31JAN2024,MTG_30YR,0.066773
