ACCOUNT_ID,PMT_ONTIME_12MO,PMT_LATE_30_12MO,PMT_LATE_60_12MO,PMT_LATE_90_12MO,MAX_DAYS_PAST_DUE_EVER,MONTHS_SINCE_LAST_DPD,AVG_PMT_RATIO_12MO
A00000172,12,0,0,0,0,,0.1270
A00000173,12,0,0,0,0,,0.2473
A00000174,11,1,0,0,185,33,0.8230
A00000177,12,0,0,0,0,,0.9270
A00000178,12,0,0,0,0,,0.8125
A00000179,12,0,0,0,0,,0.8403
A00000181,12,0,0,0,0,,0.1471
A00000186,11,1,0,0,62,35,0.8022
A00000187,12,0,0,0,0,,0.8657
A00000188,12,0,0,0,0,,0.9915
A00000190,12,0,0,0,0,,0.7761
A00000192,10,2,0,0,31,23,0.1799
A00000194,11,1,0,0,128,19,0.5405
A00000195,12,0,0,0,0,,0.3354
A00000197,12,0,0,0,0,,0.4054
A00000199,12,0,0,0,0,,0.3668
A00000201,12,0,0,0,0,,0.2115
A00000202,12,0,0,0,0,,0.2970
A00000204,11,1,0,0,45,1,0.4419
A00000205,11,1,1,0,128,15,0.3370
A00000206,12,0,0,0,0,,0.8308
A00000207,7,5,0,0,62,16,0.3430
A00000210,11,1,1,1,185,18,0.6708
A00000212,12,0,0,0,0,,0.5855
A00000213,12,0,0,0,0,,0.7747
A00000214,9,3,0,0,62,22,0.2189
A00000215,12,0,0,0,0,,0.0934
A00000217,11,1,1,0,62,13,0.8666
A00000219,9,3,0,0,128,1,0.6581
A00000220,12,0,0,0,0,,0.2044
A00000221,12,0,0,0,0,,0.6792
A00000222,12,0,0,0,0,,0.4255
A00000224,10,2,1,0,185,24,0.5274
A00000225,12,0,0,0,0,,0.3296
A00000230,12,0,0,0,0,,0.1723
A00000232,12,0,0,0,0,,0.4776
A00000238,12,0,0,0,0,,0.5786
A00000239,10,2,1,1,62,18,0.4857
A00000240,12,0,0,0,0,,0.9174
A00000244,12,0,0,0,0,,0.8178
A00000246,12,0,0,0,0,,0.5076
A00000247,11,1,0,0,185,33,0.3955
A00000248,12,0,0,0,0,,0.6299
A00000250,12,0,0,0,0,,0.4515
A00000251,12,0,0,0,0,,0.2891
A00000252,10,2,0,0,185,11,0.9735
A00000254,12,0,0,0,0,,0.6072
A00000256,12,0,0,0,0,,0.4027
A00000257,12,0,0,0,0,,0.2443
A00000259,12,0,0,0,0,,0.3665
A00000260,12,0,0,0,0,,0.2172
A00000263,11,1,0,0,128,22,0.4848
A00000265,12,0,0,0,0,,0.8311
A00000266,12,0,0,0,0,,0.6882
A00000267,10,2,1,0,31,24,0.8083
A00000269,11,1,0,0,45,28,0.2135
A00000270,12,0,0,0,0,,0.1334
A00000272,11,1,0,0,45,24,0.7488
A00000273,7,5,0,0,185,6,0.8149
A00000274,12,0,0,0,0,,0.3051
A00000275,11,1,0,0,31,31,0.1246
A00000276,7,5,0,0,91,5,0.5854
A00000277,12,0,0,0,0,,0.1924
A00000279,12,0,0,0,0,,0.8703
A00000280,12,0,0,0,0,,0.6266
A00000284,12,0,0,0,0,,0.3093
A00000287,12,0,0,0,0,,0.1329
A00000288,12,0,0,0,0,,0.3375
A00000290,12,0,0,0,0,,0.9767
A00000293,12,0,0,0,0,,0.5573
A00000294,12,0,0,0,0,,0.8061
A00000297,10,2,1,0,45,18,0.7430
A00000298,12,0,0,0,0,,0.3613
A00000300,12,0,0,0,0,,0.1151
A00000301,12,0,0,0,0,,0.2100
A00000304,9,3,0,0,91,32,0.5181
A00000305,12,0,0,0,0,,0.6823
A00000306,10,2,1,0,31,7,0.3385
A00000309,12,0,0,0,0,,0.5967
A00000310,12,0,0,0,0,,0.6007
A00000312,12,0,0,0,0,,0.1413
A00000314,11,1,0,0,45,25,0.3890
A00000315,12,0,0,0,0,,0.7785
A00000322,12,0,0,0,0,,0.3407
A00000323,11,1,0,0,62,16,0.1916
A00000324,12,0,0,0,0,,0.9537
A00000325,11,1,1,0,185,24,0.6282
A00000326,12,0,0,0,0,,0.9975
A00000329,12,0,0,0,0,,0.4461
A00000330,12,0,0,0,0,,0.3145
A00000332,11,1,0,0,185,23,0.3886
A00000333,12,0,0,0,0,,0.3191
A00000335,12,0,0,0,0,,0.7740
A00000337,12,0,0,0,0,,0.1364
A00000339,9,3,1,1,128,11,0.6582
A00000341,12,0,0,0,0,,0.5559
A00000344,10,2,0,0,62,33,0.5974
A00000346,11,1,0,0,185,33,0.3490
A00000348,12,0,0,0,0,,0.2436
A00000349,12,0,0,0,0,,0.0932
A00000350,12,0,0,0,0,,0.8133
A00000351,12,0,0,0,0,,0.1333
A00000352,12,0,0,0,0,,0.8747
A00000355,12,0,0,0,0,,0.2860
A00000358,7,5,2,2,31,2,0.7285
A00000359,12,0,0,0,0,,0.3819
A00000360,11,1,1,0,31,33,0.4692
A00000361,12,0,0,0,0,,0.4169
A00000362,12,0,0,0,0,,0.1051
A00000364,12,0,0,0,0,,0.1522
A00000368,12,0,0,0,0,,0.7849
A00000369,12,0,0,0,0,,0.6371
A00000375,12,0,0,0,0,,0.6035
A00000376,11,1,1,0,62,26,0.5583
A00000378,12,0,0,0,0,,0.8313
A00000381,10,2,0,0,128,10,0.3481
A00000383,12,0,0,0,0,,0.2095
A00000386,11,1,0,0,185,20,0.1071
A00000387,12,0,0,0,0,,0.1744
A00000388,12,0,0,0,0,,0.8873
A00000391,9,3,1,1,185,20,0.6091
A00000392,12,0,0,0,0,,0.7993
A00000393,12,0,0,0,0,,0.5056
A00000395,12,0,0,0,0,,0.6634
A00000397,12,0,0,0,0,,0.8878
A00000399,12,0,0,0,0,,0.9654
A00000400,12,0,0,0,0,,0.0649
A00000402,10,2,0,0,185,25,0.8930
A00000404,12,0,0,0,0,,0.8962
A00000405,12,0,0,0,0,,0.4764
A00000406,12,0,0,0,0,,0.7053
A00000407,12,0,0,0,0,,0.2302
A00000409,12,0,0,0,0,,0.4581
A00000410,11,1,1,0,128,36,0.8235
A00000415,12,0,0,0,0,,0.1258
A00000420,12,0,0,0,0,,0.3985
A00000423,10,2,0,0,185,27,0.4114
A00000426,11,1,1,0,91,33,0.4389
A00000429,11,1,1,0,31,6,0.6666
A00000431,7,5,4,1,31,5,0.6331
A00000435,12,0,0,0,0,,0.2674
A00000437,9,3,2,1,185,9,0.8727
A00000438,12,0,0,0,0,,0.6762
A00000439,11,1,0,0,45,19,0.1612
A00000441,12,0,0,0,0,,0.4868
A00000442,12,0,0,0,0,,0.8303
A00000443,12,0,0,0,0,,0.0925
A00000445,12,0,0,0,0,,0.9415
A00000447,12,0,0,0,0,,0.6349
A00000448,12,0,0,0,0,,0.0865
A00000450,7,5,0,0,185,31,0.4609
A00000452,12,0,0,0,0,,0.6347
A00000453,12,0,0,0,0,,0.9995
A00000456,12,0,0,0,0,,0.4386
A00000460,7,5,4,2,45,20,0.5627
A00000461,12,0,0,0,0,,0.6704
A00000463,12,0,0,0,0,,0.0720
A00000464,7,5,1,0,62,20,0.0878
A00000467,12,0,0,0,0,,0.5349
A00000469,12,0,0,0,0,,0.7790
A00000470,10,2,1,1,91,28,0.6974
A00000474,12,0,0,0,0,,0.4131
A00000475,11,1,0,0,45,7,0.5977
A00000476,12,0,0,0,0,,0.3253
A00000478,12,0,0,0,0,,0.8378
A00000480,12,0,0,0,0,,0.3697
A00000481,10,2,1,1,91,31,0.4364
A00000482,12,0,0,0,0,,0.5045
A00000483,12,0,0,0,0,,0.5066
