ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CLOSE_DATE,CURRENT_BALANCE,AVAILABLE_BALANCE,CREDIT_LIMIT,INTEREST_RATE,BRANCH_ID,OFFICER_ID,LAST_ACTIVITY_DATE
A00000026,C0000015,MTG,A,02JUL2013,,787669.93,787545.09,0.00,0.0683,B013,O0020,19JAN2024
A00000027,C0000016,CHK,A,20MAR2017,,511.59,278.94,0.00,0.0011,B035,O0092,23JAN2024
A00000028,C0000016,AUTO,A,31MAY2020,,54313.79,54227.72,0.00,0.0725,B041,O0011,27JAN2024
A00000029,C0000017,CHK,A,25AUG2013,,72.49,44.45,0.00,0.001,B017,O0096,31JAN2024
A00000030,C0000017,SAV,D,12SEP2021,,889.92,782.30,0.00,0.0288,B040,O0073,22JAN2024
A00000031,C0000018,CHK,A,04APR2022,,98916.75,98716.39,0.00,0.0009,B023,O0037,08JAN2024
A00000032,C0000018,CHK,A,09SEP2010,,1021.52,772.07,0.00,0.001,B016,O0028,26JAN2024
A00000033,C0000018,AUTO,A,16APR2015,,40503.40,40377.49,0.00,0.0801,B013,O0030,06OCT2023
A00000034,C0000018,SAV,A,12NOV2010,,152004.63,151964.69,0.00,0.0345,B018,O0101,26JAN2024
A00000035,C0000019,AUTO,A,10JAN2016,,33340.88,33211.35,0.00,0.0736,B008,O0012,22JAN2024
A00000036,C0000019,MTG,A,04APR2021,,309131.92,309121.32,0.00,0.0609,B014,O0070,31JAN2024
A00000037,C0000020,CHK,A,03JUN2009,,3794.00,3728.30,0.00,0.0011,B026,O0002,18JAN2024
A00000038,C0000021,CD,P,21JUL2019,,86741.10,86640.84,0.00,0.0506,B009,O0094,27JAN2024
A00000039,C0000022,CHK,A,15AUG2011,,2913.01,2836.65,0.00,0.0009,B019,O0034,30JAN2024
A00000040,C0000023,CHK,A,16NOV2007,,13036.63,12788.88,0.00,0.0011,B021,O0071,20JUN2023
A00000041,C0000024,AUTO,S,20DEC2014,,47334.35,47143.58,0.00,0.0726,B012,O0089,28JAN2024
A00000042,C0000024,CC,A,21OCT2010,,5639.76,4360.24,10000.00,0.2182,B017,O0015,11OCT2023
A00000043,C0000024,CHK,A,02MAY2015,,1168.46,977.40,0.00,0.001,B009,O0075,27JAN2024
A00000044,C0000024,IRA,A,05JUL2016,,210152.84,209982.77,0.00,0.046,B019,O0041,04MAR2023
A00000045,C0000025,LOC,P,31JAN2011,,58527.67,41472.33,100000.00,0.1023,B033,O0038,30JAN2024
A00000046,C0000026,CHK,A,10AUG2007,,5288.84,5188.70,0.00,0.0009,B009,O0062,31JAN2024
A00000047,C0000026,MTG,A,16DEC2018,,132118.72,132068.52,0.00,0.0691,B013,O0008,22JAN2024
A00000048,C0000026,SAV,A,29NOV2019,,1379.74,1188.58,0.00,0.0333,B017,O0077,25JAN2024
A00000049,C0000027,MTG,A,07MAY2019,,542753.55,542652.08,0.00,0.0684,B040,O0030,18JAN2024
A00000050,C0000027,CC,A,31MAR2007,,5052.66,4947.34,10000.00,0.2337,B015,O0063,19JAN2024
A00000051,C0000027,SAV,A,23AUG2011,,2281.94,2047.39,0.00,0.0361,B012,O0067,08OCT2023
A00000052,C0000028,AUTO,A,11SEP2019,,32871.53,32704.50,0.00,0.0886,B018,O0055,22JAN2024
A00000053,C0000028,MTG,A,30JUL2011,,492287.19,492262.18,0.00,0.0725,B011,O0069,18JAN2024
A00000054,C0000028,CC,A,21APR2018,,3865.50,3634.50,7500.00,0.2309,B047,O0014,23JAN2024
A00000055,C0000029,CC,A,07JAN2017,,5691.97,4308.03,10000.00,0.2372,B022,O0117,29NOV2021
A00000056,C0000030,HELC,R,25APR2020,,30522.95,44477.05,75000.00,0.081,B006,O0110,08JUL2023
A00000057,C0000030,CC,A,19JUN2017,,6377.04,8622.96,15000.00,0.2318,B048,O0041,24JAN2024
A00000058,C0000031,CC,A,19AUG2009,,4454.81,5545.19,10000.00,0.2201,B022,O0063,22JAN2024
A00000059,C0000031,HELC,A,10APR2021,,40979.73,59020.27,100000.00,0.0933,B018,O0113,19DEC2023
A00000060,C0000032,CHK,A,25FEB2010,,2118.96,2096.71,0.00,0.001,B034,O0048,24DEC2023
A00000061,C0000033,CC,A,29AUG2017,,1926.06,5573.94,7500.00,0.2315,B023,O0094,29JAN2024
A00000062,C0000034,MMA,A,30JAN2022,,89450.20,89234.35,0.00,0.0368,B024,O0019,18JAN2024
A00000063,C0000034,MTG,A,14FEB2020,,502286.75,502056.31,0.00,0.0719,B024,O0060,21JAN2024
A00000064,C0000034,IRA,A,29NOV2023,,29272.95,29169.61,0.00,0.0429,B015,O0031,24JAN2024
A00000065,C0000035,CHK,A,03DEC2015,,2758.31,2592.08,0.00,0.001,B003,O0013,20JAN2024
A00000066,C0000036,MTG,A,09JUN2010,,798090.77,797852.69,0.00,0.0697,B046,O0018,20NOV2021
A00000067,C0000036,AUTO,A,23JAN2010,,40771.05,40703.34,0.00,0.0793,B019,O0014,23JAN2024
A00000068,C0000036,CHK,A,20SEP2019,,14053.53,13925.23,0.00,0.001,B015,O0057,21JAN2024
A00000069,C0000037,SAV,A,17JUN2014,,5664.88,5617.06,0.00,0.0313,B027,O0027,08OCT2023
A00000070,C0000038,CC,A,25JUL2020,,6153.71,3846.29,10000.00,0.2292,B038,O0030,19JAN2024
A00000071,C0000039,AUTO,A,08SEP2012,,30010.29,29951.60,0.00,0.0888,B047,O0015,16AUG2023
A00000072,C0000040,MTG,D,12MAR2008,,392924.86,392912.88,0.00,0.065,B012,O0109,12NOV2023
A00000073,C0000040,SAV,W,11JUN2015,27NOV2020,32012.84,31850.37,0.00,0.0333,B035,O0011,22AUG2021
A00000074,C0000041,CHK,F,23MAY2020,,33687.82,33610.14,0.00,0.0011,B009,O0119,22JAN2024
A00000075,C0000041,CD,A,09JAN2018,,42916.44,42751.74,0.00,0.0452,B002,O0109,28DEC2023
A00000076,C0000042,AUTO,A,15SEP2019,,44212.93,44165.35,0.00,0.0886,B030,O0118,23JAN2024
A00000077,C0000042,IRA,A,15JUN2010,,79624.67,79573.72,0.00,0.0443,B043,O0096,30JAN2024
A00000078,C0000043,MTG,S,05SEP2020,,331139.40,331086.73,0.00,0.0679,B001,O0088,27JAN2024
A00000079,C0000043,CC,A,27JUN2018,,1805.68,5694.32,7500.00,0.2027,B003,O0045,21JAN2024
A00000080,C0000044,SAV,A,16SEP2014,,3283.33,3269.35,0.00,0.0314,B025,O0048,16OCT2023
A00000081,C0000045,SAV,A,28MAR2020,,2771.61,2739.66,0.00,0.0363,B024,O0095,25JAN2024
A00000082,C0000045,CHK,A,11JUL2007,,941.93,774.25,0.00,0.0009,B018,O0002,07OCT2023
A00000083,C0000045,CHK,A,25FEB2018,,4162.21,3969.93,0.00,0.001,B022,O0111,17JAN2024
A00000084,C0000045,AUTO,A,16SEP2018,,28981.25,28786.81,0.00,0.0779,B004,O0100,26JAN2024
A00000085,C0000046,HELC,A,27JUN2018,,135572.14,114427.86,250000.00,0.0974,B023,O0014,19JAN2024
A00000086,C0000047,SAV,C,22MAY2014,17FEB2018,6194.24,5969.44,0.00,0.0287,B012,O0096,24DEC2023
A00000087,C0000048,CD,A,15DEC2012,,460447.64,460229.03,0.00,0.0524,B031,O0043,25JAN2024
A00000088,C0000048,CC,A,03JAN2010,,9516.91,5483.09,15000.00,0.2407,B010,O0087,18DEC2023
A00000089,C0000049,AUTO,A,14JAN2012,,6199.63,6062.90,0.00,0.0815,B044,O0099,31JAN2024
A00000090,C0000049,SAV,P,06AUG2011,,3623.04,3425.68,0.00,0.0356,B037,O0041,26JAN2024
A00000091,C0000050,LOC,R,20MAR2020,,20998.61,29001.39,50000.00,0.1257,B031,O0032,31JAN2024
A00000092,C0000050,AUTO,A,04DEC2019,,28524.01,28407.08,0.00,0.0746,B022,O0100,19JAN2024
A00000093,C0000051,SAV,A,12MAY2012,,-247.24,0.00,0.00,0.033,B038,O0109,28JAN2024
A00000094,C0000051,SAV,A,05MAY2022,,24262.70,24128.31,0.00,0.0334,B042,O0072,19AUG2023
A00000095,C0000052,CC,A,04MAR2018,,2259.69,7740.31,10000.00,0.2175,B026,O0102,27JAN2024
A00000096,C0000052,CD,P,20NOV2011,,38013.84,37811.91,0.00,0.0443,B018,O0027,23JAN2024
A00000097,C0000053,LOC,A,18APR2007,,10717.83,39282.17,50000.00,0.1252,B011,O0075,25JAN2024
A00000098,C0000053,CHK,A,01JUL2017,,3377.99,3277.06,0.00,0.0009,B007,O0057,31JAN2024
A00000099,C0000053,CC,A,03DEC2015,,803.24,4196.76,5000.00,0.241,B007,O0106,21JAN2024
A00000100,C0000054,PERS,D,19AUG2010,,23084.66,23063.30,0.00,0.1388,B034,O0036,18JAN2024
A00000101,C0000054,MMA,A,13MAR2015,,11110.98,10978.84,0.00,0.0397,B008,O0029,16OCT2022
A00000102,C0000055,IRA,A,14FEB2013,,15029.54,14962.36,0.00,0.0434,B045,O0015,29JAN2024
A00000103,C0000055,HELC,A,26APR2013,,7364.43,42635.57,50000.00,0.0888,B018,O0055,30NOV2023
A00000104,C0000056,CC,A,21JUL2014,,2832.19,7167.81,10000.00,0.2186,B006,O0110,28JAN2024
A00000105,C0000057,HELC,A,01JAN2011,,28830.72,121169.28,150000.00,0.0939,B047,O0110,27AUG2023
A00000106,C0000057,CHK,A,11JUN2012,,3578.56,3505.71,0.00,0.001,B014,O0042,31JAN2024
A00000107,C0000058,SAV,A,12AUG2013,,15546.84,15309.33,0.00,0.0335,B012,O0064,18JAN2024
A00000108,C0000058,CC,A,07JAN2016,,5293.37,9706.63,15000.00,0.2164,B038,O0083,24JUN2023
A00000109,C0000058,AUTO,A,01JUN2007,,46732.36,46635.31,0.00,0.0874,B017,O0069,24JAN2024
A00000110,C0000059,CC,A,06JUN2016,,5025.19,0.00,5000.00,0.2049,B014,O0092,20JAN2024
A00000111,C0000059,CC,A,04OCT2020,,6877.08,18122.92,25000.00,0.2434,B034,O0091,27JAN2024
A00000112,C0000060,CC,A,27MAR2023,,707.96,792.04,1500.00,0.2028,B039,O0022,16OCT2023
A00000113,C0000061,CHK,A,13SEP2009,,12229.89,12063.47,0.00,0.001,B009,O0113,26JAN2024
A00000114,C0000062,CHK,A,20JUN2009,,3347.80,3239.63,0.00,0.0009,B003,O0112,24JAN2024
A00000115,C0000062,SAV,A,20MAY2008,,3550.14,3491.19,0.00,0.0293,B002,O0101,25JAN2024
A00000116,C0000063,CC,W,20OCT2013,03APR2018,3301.24,1698.76,5000.00,0.22,B044,O0027,14NOV2021
A00000117,C0000064,CHK,A,08JAN2011,,37035.60,36796.92,0.00,0.0009,B031,O0119,23JAN2024
A00000118,C0000065,SAV,A,26MAR2020,,241343.07,241333.16,0.00,0.0345,B040,O0021,13DEC2023
A00000119,C0000065,CD,A,10MAY2019,,147892.50,147767.43,0.00,0.0472,B015,O0071,25JAN2024
A00000120,C0000065,SAV,A,10AUG2022,,1293.60,1177.38,0.00,0.0342,B044,O0083,23JAN2024
A00000121,C0000066,CC,A,26JUN2018,,3037.79,0.00,3000.00,0.1995,B024,O0106,13DEC2023
A00000122,C0000067,CC,R,27MAY2020,,7492.16,2507.84,10000.00,0.238,B020,O0046,21JAN2024
A00000123,C0000067,CC,A,19MAR2022,,4021.72,3478.28,7500.00,0.211,B009,O0023,22JAN2024
A00000124,C0000067,AUTO,A,14APR2022,,16953.65,16728.04,0.00,0.0884,B029,O0120,25JAN2024
A00000125,C0000068,MMA,A,30JUN2021,,60158.99,60104.65,0.00,0.0371,B003,O0099,17JAN2024
A00000126,C0000069,AUTO,F,18FEB2010,,4597.41,4381.40,0.00,0.0706,B028,O0092,24DEC2023
A00000127,C0000069,CHK,D,13NOV2013,,93.17,64.59,0.00,0.0011,B036,O0109,27MAR2023
A00000128,C0000070,CHK,A,17MAY2011,,7631.36,7525.66,0.00,0.001,B033,O0105,24JAN2024
A00000129,C0000070,MTG,A,04JUL2016,,392936.03,392915.79,0.00,0.0663,B028,O0029,14NOV2023
A00000130,C0000071,MTG,A,18SEP2013,,492263.78,492078.84,0.00,0.0652,B035,O0053,26NOV2023
A00000131,C0000071,SAV,W,02JAN2012,16MAR2015,2655.92,2493.24,0.00,0.0316,B028,O0100,19JAN2024
A00000132,C0000071,CHK,A,24FEB2020,,6682.73,6565.46,0.00,0.0011,B045,O0053,26JAN2024
A00000133,C0000071,CHK,A,10NOV2016,,741.69,588.93,0.00,0.001,B047,O0072,28NOV2023
A00000134,C0000072,CC,A,19JUN2019,,6329.91,8670.09,15000.00,0.2433,B039,O0027,29OCT2023
A00000135,C0000072,CC,A,02JUL2010,,2680.14,4819.86,7500.00,0.2207,B006,O0029,22FEB2023
A00000136,C0000073,CHK,A,10APR2021,,1803.71,1559.18,0.00,0.001,B045,O0016,16DEC2023
A00000137,C0000073,CD,A,02JUN2007,,36028.71,35922.38,0.00,0.0525,B021,O0087,21JAN2024
A00000138,C0000073,CD,A,29SEP2017,,40862.06,40844.65,0.00,0.0511,B032,O0050,18JAN2024
A00000139,C0000074,MTG,A,25APR2014,,724499.76,724263.41,0.00,0.0639,B012,O0036,25JAN2024
A00000140,C0000075,CD,D,14JUL2014,,65788.01,65745.95,0.00,0.0436,B043,O0007,29JAN2024
A00000141,C0000075,SAV,A,06FEB2020,,-500.69,0.00,0.00,0.0356,B037,O0095,31JAN2024
A00000142,C0000076,CHK,A,01NOV2011,,1624.52,1406.98,0.00,0.001,B014,O0017,27JAN2024
A00000143,C0000076,MMA,A,28MAY2019,,14659.06,14474.97,0.00,0.0401,B027,O0088,23JAN2024
A00000144,C0000077,IRA,A,11NOV2007,,21539.45,21334.70,0.00,0.0415,B033,O0080,29DEC2023
A00000145,C0000077,CC,A,23MAY2014,,2510.92,4989.08,7500.00,0.2349,B002,O0013,19JAN2024
A00000146,C0000078,CHK,A,20DEC2008,,2667.92,2421.64,0.00,0.0009,B017,O0069,22JAN2024
A00000147,C0000078,SAV,A,12APR2012,,7273.38,7124.53,0.00,0.0311,B021,O0061,19JAN2024
A00000148,C0000078,CHK,A,18NOV2014,,782.37,678.59,0.00,0.0009,B017,O0041,27JAN2024
A00000149,C0000079,CHK,D,19NOV2019,,1614.48,1607.27,0.00,0.001,B022,O0107,30JAN2024
A00000150,C0000079,LOC,D,18APR2010,,11522.37,13477.63,25000.00,0.1048,B010,O0028,15AUG2023
A00000151,C0000080,MTG,D,04MAY2012,,270172.44,270171.78,0.00,0.0704,B009,O0116,17JAN2024
A00000152,C0000080,SAV,A,11DEC2017,,2202.79,2030.29,0.00,0.0296,B035,O0045,11FEB2023
A00000153,C0000080,SAV,A,15DEC2017,,765.58,537.78,0.00,0.0345,B016,O0071,25JAN2024
A00000154,C0000080,CHK,A,05MAR2008,,404.37,374.90,0.00,0.001,B042,O0061,29JAN2024
A00000155,C0000081,SAV,F,13MAR2019,,3928.91,3746.42,0.00,0.0354,B006,O0015,29JAN2024
A00000156,C0000081,AUTO,A,11FEB2020,,55884.52,55871.12,0.00,0.0746,B023,O0087,22DEC2023
A00000157,C0000082,CC,A,24NOV2018,,37.88,1462.12,1500.00,0.2484,B043,O0092,25JAN2024
A00000158,C0000082,CD,S,15FEB2023,,237975.43,237875.97,0.00,0.0518,B035,O0045,20NOV2023
A00000159,C0000082,SAV,A,11SEP2009,,-1812.97,0.00,0.00,0.0318,B007,O0077,18JAN2024
A00000160,C0000083,CHK,A,09SEP2016,,15339.03,15091.83,0.00,0.0009,B005,O0087,22JAN2024
A00000161,C0000083,CD,A,15MAR2007,,128954.31,128732.14,0.00,0.0429,B003,O0008,18JAN2024
A00000162,C0000084,CHK,S,15SEP2009,,5839.34,5754.18,0.00,0.001,B045,O0028,28JAN2024
A00000163,C0000084,CC,A,28MAR2021,,8098.19,16901.81,25000.00,0.2088,B013,O0006,30JAN2024
A00000164,C0000085,SAV,P,01NOV2020,,882.97,784.54,0.00,0.032,B017,O0077,27NOV2023
A00000165,C0000086,MMA,A,25JUL2009,,6558.02,6519.57,0.00,0.0446,B042,O0062,30JAN2024
A00000166,C0000087,CHK,A,04JUL2008,,1461.02,1393.28,0.00,0.0009,B035,O0064,28JAN2024
A00000167,C0000088,LOC,S,26JUL2014,,3152.16,21847.84,25000.00,0.1158,B023,O0049,15AUG2023
A00000168,C0000088,CHK,W,08NOV2007,29NOV2008,6446.58,6343.26,0.00,0.0011,B044,O0007,17JAN2024
A00000169,C0000089,MTG,A,28DEC2021,,155424.91,155273.34,0.00,0.0613,B045,O0096,19JAN2024
A00000170,C0000090,CHK,A,07FEB2013,,629.20,552.78,0.00,0.001,B033,O0109,17JAN2024
A00000171,C0000090,HELC,A,18OCT2018,,8293.03,41706.97,50000.00,0.1,B022,O0116,29JAN2024
A00000172,C0000091,HELC,P,15JUL2019,,33477.23,116522.77,150000.00,0.0965,B022,O0065,17JAN2024
A00000173,C0000091,MTG,A,31DEC2017,,387883.94,387807.98,0.00,0.0732,B014,O0091,21AUG2023
A00000174,C0000092,MTG,A,03MAY2019,,755173.82,754933.81,0.00,0.0673,B007,O0082,13JUL2023
A00000175,C0000092,SAV,A,12OCT2017,,30334.47,30221.08,0.00,0.0354,B007,O0011,18JAN2024
A00000176,C0000093,SAV,A,21APR2019,,478.13,262.39,0.00,0.0293,B030,O0120,28NOV2023
A00000177,C0000093,PERS,A,13OCT2009,,29702.10,29465.97,0.00,0.1272,B021,O0086,24JAN2024
A00000178,C0000093,AUTO,A,24JUN2016,,13553.48,13325.28,0.00,0.0823,B040,O0083,20NOV2023
A00000179,C0000094,MTG,A,20JUN2008,,212965.58,212841.12,0.00,0.0691,B014,O0092,27JAN2024
A00000180,C0000095,SAV,R,28DEC2007,,11170.40,11124.02,0.00,0.0307,B033,O0096,11SEP2023
A00000181,C0000095,MTG,A,09JUN2008,,474119.93,473902.90,0.00,0.0668,B046,O0066,22JAN2024
A00000182,C0000095,MMA,A,19OCT2015,,107085.87,107028.50,0.00,0.0404,B030,O0093,11MAY2022
A00000183,C0000096,CHK,A,19JUN2016,,668.96,598.93,0.00,0.0011,B031,O0055,25OCT2023
A00000184,C0000097,CHK,A,08AUG2011,,472.75,291.85,0.00,0.001,B044,O0022,18JAN2024
A00000185,C0000097,SAV,A,05DEC2015,,5516.21,5371.55,0.00,0.0295,B021,O0039,30JAN2024
A00000186,C0000098,MTG,D,25JUL2022,,580109.72,580023.05,0.00,0.061,B011,O0092,21JAN2024
A00000187,C0000098,MTG,A,14SEP2021,,551888.67,551824.52,0.00,0.0641,B046,O0038,20JAN2024
A00000188,C0000098,MTG,A,08OCT2009,,766914.30,766833.17,0.00,0.0678,B003,O0095,17JAN2024
A00000189,C0000099,CHK,A,27JUN2013,,9004.29,8963.98,0.00,0.001,B005,O0086,27JAN2024
A00000190,C0000099,MTG,A,23SEP2016,,469742.87,469499.42,0.00,0.0616,B040,O0017,13NOV2021
A00000191,C0000099,CHK,A,03OCT2007,,864.02,624.58,0.00,0.0009,B038,O0115,24JAN2023
A00000192,C0000100,AUTO,D,26OCT2011,,31513.61,31295.23,0.00,0.084,B015,O0035,27JAN2024
A00000193,C0000101,CHK,A,13AUG2022,,1031.04,809.35,0.00,0.0011,B023,O0022,18JAN2024
A00000194,C0000101,CC,A,13JUL2020,,4444.47,20555.53,25000.00,0.2114,B041,O0085,18NOV2022
A00000195,C0000101,CC,A,17OCT2017,,3122.54,6877.46,10000.00,0.2181,B011,O0044,26JAN2024
A00000196,C0000101,CD,A,17AUG2015,,25608.92,25508.60,0.00,0.0447,B001,O0001,01DEC2023
A00000197,C0000102,MTG,A,30SEP2007,,156819.42,156782.87,0.00,0.0647,B032,O0070,29JAN2024
A00000198,C0000102,CD,A,27SEP2015,,40407.73,40268.70,0.00,0.0515,B022,O0059,29DEC2023
A00000199,C0000103,MTG,A,09AUG2008,,328892.25,328645.26,0.00,0.0634,B039,O0100,18JAN2024
A00000200,C0000103,CHK,A,17MAR2019,,6608.94,6593.90,0.00,0.0011,B027,O0039,18JUL2023
A00000201,C0000103,AUTO,A,06NOV2018,,61241.54,61061.87,0.00,0.0841,B035,O0030,07DEC2023
A00000202,C0000104,CC,A,24DEC2022,,26923.48,0.00,25000.00,0.2511,B028,O0065,28JAN2024
A00000203,C0000105,CHK,D,04AUG2016,,3914.03,3737.65,0.00,0.0009,B011,O0031,13APR2023
A00000204,C0000105,HELC,A,06MAY2021,,53817.32,46182.68,100000.00,0.0915,B032,O0051,22JAN2024
A00000205,C0000106,LOC,A,19OCT2014,,30055.02,69944.98,100000.00,0.1121,B017,O0091,30NOV2023
A00000206,C0000107,PERS,D,26SEP2014,,35007.90,34864.02,0.00,0.1545,B037,O0031,03JAN2024
A00000207,C0000108,CC,A,08FEB2017,,7429.09,7570.91,15000.00,0.2489,B005,O0027,22JAN2024
A00000208,C0000109,SAV,A,18JUL2015,,2407.64,2364.09,0.00,0.0326,B043,O0020,18DEC2023
A00000209,C0000110,SAV,A,28NOV2021,,24567.09,24560.44,0.00,0.0288,B019,O0060,10JAN2024
A00000210,C0000110,CC,A,25OCT2008,,2705.99,7294.01,10000.00,0.2449,B025,O0088,31JAN2024
A00000211,C0000110,CHK,A,14AUG2009,,575.05,391.47,0.00,0.001,B018,O0016,08MAY2023
A00000212,C0000111,LOC,A,18APR2021,,10444.85,89555.15,100000.00,0.117,B043,O0086,17JAN2024
A00000213,C0000111,CC,A,07NOV2010,,3538.52,11461.48,15000.00,0.2182,B021,O0051,27JAN2024
A00000214,C0000112,CC,A,11MAR2020,,5511.35,19488.65,25000.00,0.246,B002,O0060,21JAN2024
A00000215,C0000113,CC,F,01AUG2019,,5456.75,4543.25,10000.00,0.217,B009,O0028,08OCT2023
A00000216,C0000113,MMA,A,15MAR2020,,223745.05,223695.59,0.00,0.0371,B009,O0009,15DEC2023
A00000217,C0000114,AUTO,A,09APR2012,,20766.64,20693.29,0.00,0.0855,B011,O0045,28JAN2024
A00000218,C0000115,CD,A,14APR2010,,65969.01,65768.22,0.00,0.0514,B016,O0044,14APR2023
A00000219,C0000116,MTG,A,18FEB2008,,138748.84,138553.53,0.00,0.0642,B011,O0054,18JAN2024
A00000220,C0000116,CC,A,05SEP2020,,2290.71,5209.29,7500.00,0.2383,B040,O0115,17JAN2024
A00000221,C0000116,CC,D,31MAR2023,,1286.93,213.07,1500.00,0.2211,B015,O0088,03NOV2023
A00000222,C0000117,PERS,A,14DEC2023,,28092.93,28075.13,0.00,0.1557,B015,O0027,26JAN2024
A00000223,C0000117,CHK,A,16AUG2016,,33685.09,33623.13,0.00,0.0011,B014,O0089,11NOV2022
A00000224,C0000118,PERS,A,24OCT2019,,32974.08,32770.57,0.00,0.1366,B012,O0049,09NOV2023
A00000225,C0000118,PERS,A,06AUG2011,,27386.39,27142.71,0.00,0.1365,B014,O0059,02NOV2023
A00000226,C0000118,SAV,A,20OCT2021,,12320.19,12314.08,0.00,0.0328,B018,O0014,25JAN2024
A00000227,C0000118,MMA,A,25FEB2017,,312712.40,312577.10,0.00,0.0389,B042,O0034,27JAN2024
A00000228,C0000119,CHK,A,16FEB2015,,2041.55,1816.95,0.00,0.001,B008,O0042,13DEC2023
A00000229,C0000120,CHK,A,07OCT2011,,2489.21,2348.63,0.00,0.001,B021,O0039,22OCT2023
A00000230,C0000120,MTG,A,18DEC2017,,160984.52,160866.89,0.00,0.0704,B025,O0011,29JAN2024
A00000231,C0000120,SAV,A,01SEP2015,,28375.84,28272.38,0.00,0.0304,B010,O0092,15NOV2023
A00000232,C0000121,CC,R,16SEP2022,,963.93,536.07,1500.00,0.219,B024,O0081,27JAN2024
A00000233,C0000122,SAV,A,15SEP2009,,703.02,651.77,0.00,0.0337,B048,O0120,26JAN2024
A00000234,C0000123,CHK,A,05JUL2021,,6259.48,6210.09,0.00,0.0009,B027,O0079,30JAN2024
A00000235,C0000123,SAV,A,19FEB2010,,4973.04,4911.21,0.00,0.0289,B025,O0061,30JAN2024
A00000236,C0000124,CD,D,25MAY2016,,125081.27,124861.87,0.00,0.0496,B023,O0040,19JAN2024
A00000237,C0000125,SAV,A,01OCT2017,,3744.76,3563.57,0.00,0.0306,B033,O0052,31JAN2024
A00000238,C0000125,CC,A,20JAN2020,,870.83,629.17,1500.00,0.2003,B037,O0078,31JAN2024
A00000239,C0000126,MTG,A,05OCT2020,,300050.62,299949.09,0.00,0.0733,B034,O0083,27JAN2024
A00000240,C0000126,PERS,P,11JUN2020,,41164.49,40974.91,0.00,0.1401,B030,O0055,26JAN2024
A00000241,C0000126,MMA,A,02OCT2017,,118450.58,118409.93,0.00,0.0391,B020,O0021,20SEP2023
