ACCOUNT_ID,LOAN_PURPOSE,ORIG_AMOUNT,ORIG_DATE,TERM_MONTHS,LTV,DAYS_PAST_DUE,PAST_DUE_AMOUNT,ALLOWANCE_AMT
A00000186,MEDIC,1042718.81,25JUL2022,84,0.6820,0,0.00,6390.49
A00000187,REFI,792105.68,14SEP2021,24,0.3999,0,0.00,8824.49
A00000188,CASHOUT,1208140.51,08OCT2009,180,0.7540,0,0.00,4011.39
A00000190,CASHOUT,539445.92,23SEP2016,24,0.6082,0,0.00,5639.26
A00000192,REFI,57222.06,26OCT2011,36,0.9539,9,2624.62,588.01
A00000194,CONSOL,7460.33,13JUL2020,24,,0,0.00,27.01
A00000195,EDUC,4672.40,17OCT2017,120,,0,0.00,39.87
A00000197,PURCH,235141.95,30SEP2007,84,0.9638,0,0.00,887.51
A00000199,PURCH,610424.31,09AUG2008,180,0.7349,0,0.00,5028.16
A00000201,CASHOUT,94617.75,06NOV2018,48,0.3901,0,0.00,541.25
A00000202,CONST,33353.68,24DEC2022,240,,0,0.00,537.32
A00000204,CONST,90203.89,06MAY2021,48,0.4908,84,3514.39,6909.56
A00000205,REFI,42128.47,19OCT2014,120,,0,0.00,327.46
A00000206,CASHOUT,53032.33,26SEP2014,36,,0,0.00,223.62
A00000207,REFI,8282.19,08FEB2017,84,,0,0.00,78.68
A00000210,EDUC,4973.97,25OCT2008,120,,0,0.00,47.38
A00000212,REFI,15563.07,18APR2021,84,,0,0.00,201.79
A00000213,EDUC,4971.68,07NOV2010,12,,0,0.00,54.70
A00000214,PURCH,8855.29,11MAR2020,24,,0,0.00,44.75
A00000215,RENO,7809.87,01AUG2019,12,,0,0.00,96.92
A00000217,CONSOL,28388.03,09APR2012,180,0.4546,27,1014.17,170.05
A00000219,PURCH,198569.03,18FEB2008,12,0.8142,0,0.00,645.53
A00000220,PURCH,2548.59,05SEP2020,240,,0,0.00,23.19
A00000221,MEDIC,1797.86,31MAR2023,180,,0,0.00,10.19
A00000222,MEDIC,31939.96,14DEC2023,36,,0,0.00,290.50
A00000224,EDUC,59057.42,24OCT2019,60,,0,0.00,375.19
A00000225,CONSOL,39288.81,06AUG2011,24,,0,0.00,201.68
A00000230,EDUC,293928.87,18DEC2017,180,0.7667,0,0.00,3151.04
A00000232,CONSOL,1438.17,16SEP2022,36,,0,0.00,7.41
A00000238,RENO,1415.74,20JAN2020,180,,85,16.44,171.19
A00000239,CASHOUT,342370.51,05OCT2020,84,0.9373,0,0.00,4109.60
A00000240,CASHOUT,71671.34,11JUN2020,24,,0,0.00,494.84
A00000244,PURCH,47859.97,23FEB2008,60,,81,3197.20,3084.48
A00000246,REFI,102122.88,15MAR2021,12,0.6775,0,0.00,307.28
A00000247,MEDIC,647.40,30JAN2008,12,,0,0.00,6.72
A00000248,REFI,543.86,13DEC2014,60,,0,0.00,4.11
A00000250,REFI,65480.24,01OCT2007,12,,2,2565.33,551.98
A00000251,EDUC,227712.76,22DEC2015,60,0.7072,0,0.00,799.38
A00000252,CASHOUT,69399.25,17JUL2022,48,0.6664,0,0.00,637.95
A00000254,CONST,1027564.97,10NOV2016,240,0.8805,0,0.00,13225.77
A00000256,REFI,1174.24,06JAN2008,84,,0,0.00,3.79
A00000257,CONSOL,24996.61,29DEC2008,60,0.3759,0,0.00,115.94
A00000259,MEDIC,1629.81,14APR2008,48,,0,0.00,4.33
A00000260,PURCH,855266.17,16FEB2012,60,1.0413,134,44301.83,217077.25
A00000263,PURCH,7287.77,03JUN2016,36,,0,0.00,81.47
A00000265,CONST,1070600.37,18MAR2010,12,0.8807,0,0.00,12115.69
A00000266,REFI,241.13,21AUG2019,360,,0,0.00,2.43
A00000267,EDUC,647134.78,20OCT2008,24,0.3131,0,0.00,5132.28
A00000269,EDUC,9033.13,27JUN2017,36,,0,0.00,47.68
A00000270,PURCH,2344.94,11JUL2011,12,,0,0.00,11.72
A00000272,RENO,458720.03,05MAY2017,24,0.4524,0,0.00,6845.58
A00000273,EDUC,69233.75,24JUL2016,60,0.9612,3,2805.19,291.60
A00000274,CONST,1541.58,19SEP2013,180,,0,0.00,18.49
A00000275,PURCH,1113.22,08AUG2014,360,,0,0.00,10.56
A00000276,CONSOL,92481.77,09APR2017,240,0.6828,0,0.00,820.61
A00000277,EDUC,60522.20,16JUN2023,180,0.7313,0,0.00,317.39
A00000279,REFI,4105.44,11JAN2022,240,,42,97.50,485.71
A00000280,REFI,6294.74,30APR2013,12,,0,0.00,78.38
A00000284,CASHOUT,62434.01,27APR2020,24,,0,0.00,743.70
A00000287,MEDIC,504738.20,12MAY2022,60,0.8378,0,0.00,2560.12
A00000288,EDUC,52333.37,04AUG2016,240,0.9937,0,0.00,613.38
A00000290,CONST,2124.08,13DEC2014,36,,0,0.00,9.30
A00000293,MEDIC,69055.94,24NOV2009,24,,51,1596.64,5195.21
A00000294,RENO,3694.89,14DEC2022,36,,0,0.00,49.77
A00000297,EDUC,2747.78,13AUG2008,12,,0,0.00,10.00
A00000298,PURCH,10348.48,05AUG2021,12,,0,0.00,37.08
A00000300,CASHOUT,11148.03,21OCT2014,60,,0,0.00,175.32
A00000301,RENO,1371.87,02AUG2012,240,,0,0.00,12.23
A00000304,MEDIC,7404.26,27NOV2014,120,,0,0.00,62.86
A00000305,PURCH,12887.42,15SEP2022,48,,6,191.97,99.54
A00000306,PURCH,1085396.41,12APR2009,24,0.7743,0,0.00,9239.70
A00000309,REFI,17135.82,16JUN2020,36,,0,0.00,119.61
A00000310,CONST,1221759.38,25FEB2007,48,0.9914,0,0.00,8390.45
A00000312,RENO,40808.91,19FEB2009,48,0.7790,5,1228.69,289.69
A00000314,CONST,69676.55,23JAN2019,360,0.6652,0,0.00,284.07
A00000315,CASHOUT,207530.88,19FEB2007,60,0.4479,26,4227.70,1706.03
A00000322,PURCH,18387.52,06JUN2007,360,,0,0.00,134.84
A00000323,CONST,18133.48,31DEC2022,12,0.8449,0,0.00,227.81
A00000324,CONSOL,2386.94,28FEB2011,12,,0,0.00,11.08
A00000325,CONST,887619.66,16NOV2023,24,0.7055,0,0.00,8568.72
A00000326,CASHOUT,287424.33,18JUL2007,12,0.7248,0,0.00,2022.18
A00000329,EDUC,3813.14,01APR2010,12,,44,263.07,438.98
A00000330,MEDIC,1548.10,12OCT2012,24,,0,0.00,15.60
A00000332,EDUC,40577.42,05MAR2015,36,,0,0.00,507.48
A00000333,CONST,11021.80,23JUL2010,240,,0,0.00,85.83
A00000335,EDUC,1239654.38,22OCT2007,36,0.8603,16,7666.42,6960.70
A00000337,EDUC,364896.60,30JUN2011,120,1.1901,0,0.00,5490.38
A00000339,CASHOUT,10675.98,24MAR2022,24,,32,172.95,618.03
A00000341,MEDIC,596772.58,17MAY2018,36,0.9584,0,0.00,6557.14
A00000344,CONSOL,1022866.54,05NOV2021,60,0.9494,0,0.00,9078.26
A00000346,RENO,459456.93,08DEC2016,84,0.6768,0,0.00,2983.12
A00000348,PURCH,1085.86,28NOV2017,60,,0,0.00,11.12
A00000349,CASHOUT,60467.53,30DEC2018,120,0.6366,14,2516.83,560.61
A00000350,REFI,55750.14,22MAY2022,48,0.4430,0,0.00,366.81
A00000351,REFI,837314.93,13MAR2021,60,1.1689,0,0.00,8526.73
A00000352,CONST,2812.98,07MAY2010,48,,0,0.00,9.25
A00000355,CONSOL,779.08,17NOV2012,180,,0,0.00,13.00
A00000358,EDUC,16920.89,14JUL2017,60,,0,0.00,293.89
A00000359,CONST,5124.01,16JUL2013,36,,0,0.00,39.28
A00000360,REFI,9519.22,07JAN2012,240,,0,0.00,31.54
A00000361,CONST,42527.45,01OCT2019,12,,0,0.00,417.55
A00000362,MEDIC,161834.05,12AUG2020,84,0.7258,35,10327.81,21435.98
A00000364,CASHOUT,9581.04,03MAY2020,84,0.9940,17,529.94,62.75
A00000368,REFI,14478.89,27FEB2007,180,,0,0.00,93.77
A00000369,CONSOL,1803.36,01OCT2023,24,,0,0.00,7.59
A00000375,CONST,944724.60,16APR2010,60,0.6521,0,0.00,7190.44
A00000376,EDUC,1785.22,02OCT2023,240,,0,0.00,15.00
A00000378,EDUC,635494.04,13SEP2011,180,0.6887,0,0.00,2392.86
A00000381,EDUC,569.78,14MAR2014,180,,0,0.00,6.32
A00000383,REFI,1459.37,24FEB2023,120,,0,0.00,17.78
A00000386,EDUC,49804.66,04APR2014,360,0.6510,0,0.00,420.83
A00000387,CONSOL,613289.25,08AUG2013,24,1.0044,78,8235.61,30747.04
A00000388,CASHOUT,36355.61,05NOV2016,24,,0,0.00,610.40
A00000391,REFI,2951.13,05JUL2008,120,,0,0.00,11.24
A00000392,EDUC,670434.12,11SEP2018,12,0.7005,0,0.00,9516.18
A00000393,CASHOUT,2003.76,10JUN2007,36,,4,63.76,13.62
A00000395,MEDIC,668772.03,14FEB2010,180,1.0900,0,0.00,10429.62
A00000397,CONST,32015.68,20JUL2007,60,,0,0.00,174.80
A00000399,EDUC,917535.45,13DEC2016,180,0.7985,0,0.00,2884.00
A00000400,CONST,118337.08,30JAN2010,48,0.3006,0,0.00,681.92
A00000402,REFI,1953.80,08NOV2009,84,,0,0.00,19.82
A00000404,RENO,12446.38,21JUN2008,48,,0,0.00,158.89
A00000405,REFI,3459.32,12SEP2008,60,,0,0.00,16.65
A00000406,MEDIC,94824.05,23JUN2015,12,0.9931,0,0.00,773.19
A00000407,CONSOL,6421.15,31OCT2016,48,,103,123.90,2030.51
A00000409,RENO,9225.07,03FEB2015,180,,0,0.00,77.49
A00000410,CONSOL,48451.56,20JUL2021,84,,0,0.00,216.95
A00000415,EDUC,8643.17,16DEC2014,180,,69,628.49,557.33
A00000420,RENO,19540.82,29SEP2013,360,,0,0.00,83.77
A00000423,PURCH,4358.27,01JUN2009,84,,0,0.00,40.83
A00000426,PURCH,12489.61,24MAR2008,60,,0,0.00,81.06
A00000429,CONSOL,13431.53,07DEC2007,240,,0,0.00,138.86
A00000431,RENO,15639.63,06MAY2018,60,,37,607.19,2323.55
A00000435,CONSOL,51109.59,03JUL2021,180,,0,0.00,329.90
A00000437,REFI,211.80,25APR2022,180,,0,0.00,0.89
A00000438,CONSOL,656560.44,11OCT2013,84,0.3155,0,0.00,2789.57
A00000439,REFI,63470.76,19JUN2023,24,0.6611,0,0.00,262.18
A00000441,CASHOUT,75813.08,17JUL2009,360,0.6974,0,0.00,277.18
A00000442,MEDIC,26720.90,07SEP2011,180,,0,0.00,160.72
A00000443,CONSOL,83535.19,11JUN2014,36,0.6405,28,2482.11,663.80
A00000445,MEDIC,332605.61,06APR2012,12,0.8280,28,18762.61,1711.25
A00000447,EDUC,105128.09,18DEC2008,48,0.8210,0,0.00,454.08
A00000448,REFI,664637.54,12AUG2018,48,0.3965,0,0.00,3276.75
A00000450,PURCH,928621.95,10DEC2022,360,0.3491,0,0.00,12695.04
A00000452,EDUC,13478.91,07APR2017,84,,0,0.00,106.03
A00000453,CONSOL,17081.14,10APR2008,60,,0,0.00,182.23
A00000456,MEDIC,7835.30,08MAR2023,12,,10,221.02,120.86
A00000460,EDUC,533.39,05DEC2011,84,,0,0.00,7.54
A00000461,RENO,6511.44,18JUN2022,240,,0,0.00,71.22
A00000463,CONST,157966.65,09JAN2016,120,,0,0.00,1891.94
A00000464,CASHOUT,25349.50,03NOV2014,240,,7,961.14,206.33
A00000467,RENO,7527.33,30MAR2020,48,,27,513.53,113.82
A00000469,PURCH,1270.01,13FEB2014,180,,0,0.00,12.13
A00000470,RENO,983.98,20JUL2022,84,,0,0.00,12.07
A00000474,CONSOL,1788.44,22FEB2008,24,,0,0.00,7.21
A00000475,MEDIC,516.77,26SEP2007,24,,0,0.00,4.13
A00000476,PURCH,102323.77,20APR2012,240,0.5478,0,0.00,770.21
A00000478,CONSOL,7431.69,05AUG2008,240,,5,263.70,103.14
A00000480,EDUC,475634.22,31OCT2008,48,0.4286,29,24710.98,2026.01
A00000481,CASHOUT,7465.39,22FEB2014,84,0.3658,0,0.00,69.18
A00000482,CONST,28726.52,24MAY2011,84,0.7705,11,475.92,277.05
A00000483,EDUC,267028.48,13NOV2022,48,0.3861,0,0.00,2207.59
